last_changed,entity_id,state
2024-07-25 08:45:00,sensor.fimer_inverter_dc_power,1740
2024-07-25 09:00:00,sensor.fimer_inverter_dc_power,1970
2024-07-25 09:15:00,sensor.fimer_inverter_dc_power,2120
2024-07-25 09:30:00,sensor.fimer_inverter_dc_power,2360
2024-07-25 09:45:00,sensor.fimer_inverter_dc_power,2530
2024-07-25 10:00:00,sensor.fimer_inverter_dc_power,2690
2024-07-25 10:15:00,sensor.fimer_inverter_dc_power,2860
2024-07-25 10:30:00,sensor.fimer_inverter_dc_power,2980
2024-07-25 10:45:00,sensor.fimer_inverter_dc_power,3020
2024-07-25 11:00:00,sensor.fimer_inverter_dc_power,3160
2024-07-25 11:15:00,sensor.fimer_inverter_dc_power,3250
2024-07-25 11:30:00,sensor.fimer_inverter_dc_power,3270
2024-07-25 11:45:00,sensor.fimer_inverter_dc_power,3370
2024-07-25 12:00:00,sensor.fimer_inverter_dc_power,3400
2024-07-25 12:15:00,sensor.fimer_inverter_dc_power,3430
2024-07-25 12:30:00,sensor.fimer_inverter_dc_power,3420
2024-07-25 12:45:00,sensor.fimer_inverter_dc_power,3390
2024-07-25 13:00:00,sensor.fimer_inverter_dc_power,3380
2024-07-25 13:15:00,sensor.fimer_inverter_dc_power,3370
2024-07-25 13:30:00,sensor.fimer_inverter_dc_power,3300
2024-07-25 13:45:00,sensor.fimer_inverter_dc_power,3210
2024-07-25 14:00:00,sensor.fimer_inverter_dc_power,3180
2024-07-25 14:15:00,sensor.fimer_inverter_dc_power,3100
2024-07-25 14:30:00,sensor.fimer_inverter_dc_power,3030
2024-07-25 14:45:00,sensor.fimer_inverter_dc_power,2920
2024-07-25 15:00:00,sensor.fimer_inverter_dc_power,2760
2024-07-25 15:15:00,sensor.fimer_inverter_dc_power,2610
2024-07-25 15:30:00,sensor.fimer_inverter_dc_power,2520
2024-07-25 15:45:00,sensor.fimer_inverter_dc_power,2320
2024-07-25 16:00:00,sensor.fimer_inverter_dc_power,2150
2024-07-25 16:15:00,sensor.fimer_inverter_dc_power,1960
2024-07-25 16:30:00,sensor.fimer_inverter_dc_power,1800
2024-07-25 16:45:00,sensor.fimer_inverter_dc_power,1560
2024-07-25 17:00:00,sensor.fimer_inverter_dc_power,1390
2024-07-25 17:15:00,sensor.fimer_inverter_dc_power,1210
2024-07-25 17:30:00,sensor.fimer_inverter_dc_power,980
2024-07-25 17:45:00,sensor.fimer_inverter_dc_power,790
2024-07-25 18:00:00,sensor.fimer_inverter_dc_power,unavailable
