entity_id,state,last_changed
sensor.fimer_inverter_dc_power,2130,2024-07-21 09:04:49.170
sensor.fimer_inverter_dc_power,2120,2024-07-21 09:05:19.236
sensor.fimer_inverter_dc_power,2130,2024-07-21 09:05:49.257
sensor.fimer_inverter_dc_power,2120,2024-07-21 09:06:49.183
sensor.fimer_inverter_dc_power,2140,2024-07-21 09:07:19.351
sensor.fimer_inverter_dc_power,2130,2024-07-21 09:07:49.244
sensor.fimer_inverter_dc_power,2150,2024-07-21 09:08:19.226
sensor.fimer_inverter_dc_power,2170,2024-07-21 09:08:49.246
sensor.fimer_inverter_dc_power,2150,2024-07-21 09:09:19.262
sensor.fimer_inverter_dc_power,2180,2024-07-21 09:09:49.275
sensor.fimer_inverter_dc_power,2170,2024-07-21 09:10:19.332
sensor.fimer_inverter_dc_power,2190,2024-07-21 09:10:49.270
sensor.fimer_inverter_dc_power,2200,2024-07-21 09:11:49.299
sensor.fimer_inverter_dc_power,2210,2024-07-21 09:12:19.229
sensor.fimer_inverter_dc_power,2200,2024-07-21 09:12:49.317
sensor.fimer_inverter_dc_power,2210,2024-07-21 09:13:19.313
sensor.fimer_inverter_dc_power,2200,2024-07-21 09:13:49.647
sensor.fimer_inverter_dc_power,2230,2024-07-21 09:14:19.228
sensor.fimer_inverter_dc_power,2240,2024-07-21 09:14:49.233
sensor.fimer_inverter_dc_power,2220,2024-07-21 09:15:19.190
sensor.fimer_inverter_dc_power,2240,2024-07-21 09:15:49.207
sensor.fimer_inverter_dc_power,2230,2024-07-21 09:16:19.259
sensor.fimer_inverter_dc_power,2240,2024-07-21 09:16:49.272
sensor.fimer_inverter_dc_power,2230,2024-07-21 09:17:19.315
sensor.fimer_inverter_dc_power,2250,2024-07-21 09:17:49.261
sensor.fimer_inverter_dc_power,2260,2024-07-21 09:18:19.365
sensor.fimer_inverter_dc_power,2250,2024-07-21 09:18:49.208
sensor.fimer_inverter_dc_power,2290,2024-07-21 09:19:19.281
sensor.fimer_inverter_dc_power,2280,2024-07-21 09:19:49.215
sensor.fimer_inverter_dc_power,2290,2024-07-21 09:20:19.244
sensor.fimer_inverter_dc_power,2300,2024-07-21 09:20:49.157
sensor.fimer_inverter_dc_power,2290,2024-07-21 09:22:19.270
sensor.fimer_inverter_dc_power,2270,2024-07-21 09:22:49.389
sensor.fimer_inverter_dc_power,2310,2024-07-21 09:23:19.328
sensor.fimer_inverter_dc_power,2300,2024-07-21 09:23:49.239
sensor.fimer_inverter_dc_power,2320,2024-07-21 09:24:19.270
sensor.fimer_inverter_dc_power,2340,2024-07-21 09:25:19.166
sensor.fimer_inverter_dc_power,2360,2024-07-21 09:25:49.262
sensor.fimer_inverter_dc_power,2350,2024-07-21 09:26:19.288
sensor.fimer_inverter_dc_power,2380,2024-07-21 09:26:49.163
sensor.fimer_inverter_dc_power,2370,2024-07-21 09:27:19.182
sensor.fimer_inverter_dc_power,2390,2024-07-21 09:27:49.196
sensor.fimer_inverter_dc_power,2380,2024-07-21 09:28:19.372
sensor.fimer_inverter_dc_power,2290,2024-07-21 09:28:49.187
sensor.fimer_inverter_dc_power,2400,2024-07-21 09:29:19.264
sensor.fimer_inverter_dc_power,2390,2024-07-21 09:29:49.428
sensor.fimer_inverter_dc_power,2410,2024-07-21 09:30:19.297
sensor.fimer_inverter_dc_power,2400,2024-07-21 09:30:49.202
sensor.fimer_inverter_dc_power,2420,2024-07-21 09:31:19.274
sensor.fimer_inverter_dc_power,2430,2024-07-21 09:32:19.259
sensor.fimer_inverter_dc_power,2440,2024-07-21 09:32:49.205
sensor.fimer_inverter_dc_power,2430,2024-07-21 09:33:19.193
sensor.fimer_inverter_dc_power,2460,2024-07-21 09:33:49.245
sensor.fimer_inverter_dc_power,2440,2024-07-21 09:34:19.214
sensor.fimer_inverter_dc_power,2450,2024-07-21 09:34:49.229
sensor.fimer_inverter_dc_power,2460,2024-07-21 09:35:19.156
sensor.fimer_inverter_dc_power,2450,2024-07-21 09:35:49.189
sensor.fimer_inverter_dc_power,2480,2024-07-21 09:36:19.168
sensor.fimer_inverter_dc_power,2490,2024-07-21 09:36:49.235
sensor.fimer_inverter_dc_power,2470,2024-07-21 09:37:19.375
sensor.fimer_inverter_dc_power,2500,2024-07-21 09:37:49.281
sensor.fimer_inverter_dc_power,2490,2024-07-21 09:38:19.259
sensor.fimer_inverter_dc_power,2510,2024-07-21 09:39:19.264
sensor.fimer_inverter_dc_power,2500,2024-07-21 09:39:49.286
sensor.fimer_inverter_dc_power,2520,2024-07-21 09:40:19.162
sensor.fimer_inverter_dc_power,2510,2024-07-21 09:40:49.176
sensor.fimer_inverter_dc_power,2530,2024-07-21 09:41:20.223
sensor.fimer_inverter_dc_power,2520,2024-07-21 09:41:50.202
sensor.fimer_inverter_dc_power,2530,2024-07-21 09:42:20.288
sensor.fimer_inverter_dc_power,2540,2024-07-21 09:43:20.214
sensor.fimer_inverter_dc_power,2550,2024-07-21 09:43:50.214
sensor.fimer_inverter_dc_power,2540,2024-07-21 09:44:20.225
sensor.fimer_inverter_dc_power,2570,2024-07-21 09:44:50.232
sensor.fimer_inverter_dc_power,2560,2024-07-21 09:45:20.268
sensor.fimer_inverter_dc_power,2570,2024-07-21 09:45:50.371
sensor.fimer_inverter_dc_power,2590,2024-07-21 09:47:20.267
sensor.fimer_inverter_dc_power,2580,2024-07-21 09:47:50.229
sensor.fimer_inverter_dc_power,2600,2024-07-21 09:48:20.248
sensor.fimer_inverter_dc_power,2590,2024-07-21 09:48:50.248
sensor.fimer_inverter_dc_power,2610,2024-07-21 09:49:20.251
sensor.fimer_inverter_dc_power,2590,2024-07-21 09:50:20.259
sensor.fimer_inverter_dc_power,2600,2024-07-21 09:50:50.317
sensor.fimer_inverter_dc_power,2590,2024-07-21 09:51:20.201
sensor.fimer_inverter_dc_power,2620,2024-07-21 09:51:50.185
sensor.fimer_inverter_dc_power,2630,2024-07-21 09:52:20.281
sensor.fimer_inverter_dc_power,2620,2024-07-21 09:52:50.293
sensor.fimer_inverter_dc_power,2650,2024-07-21 09:53:20.291
sensor.fimer_inverter_dc_power,2660,2024-07-21 09:53:50.282
sensor.fimer_inverter_dc_power,2650,2024-07-21 09:54:20.183
sensor.fimer_inverter_dc_power,2680,2024-07-21 09:54:50.186
sensor.fimer_inverter_dc_power,2650,2024-07-21 09:55:20.362
sensor.fimer_inverter_dc_power,2680,2024-07-21 09:55:50.273
sensor.fimer_inverter_dc_power,2670,2024-07-21 09:56:20.199
sensor.fimer_inverter_dc_power,2690,2024-07-21 09:56:50.206
sensor.fimer_inverter_dc_power,2700,2024-07-21 09:57:20.308
sensor.fimer_inverter_dc_power,2690,2024-07-21 09:57:50.245
sensor.fimer_inverter_dc_power,2710,2024-07-21 09:58:20.271
sensor.fimer_inverter_dc_power,2690,2024-07-21 09:58:50.206
sensor.fimer_inverter_dc_power,2710,2024-07-21 09:59:20.246
sensor.fimer_inverter_dc_power,2690,2024-07-21 09:59:50.221
sensor.fimer_inverter_dc_power,2700,2024-07-21 10:00:20.206
sensor.fimer_inverter_dc_power,2690,2024-07-21 10:00:50.252
sensor.fimer_inverter_dc_power,2720,2024-07-21 10:01:50.281
sensor.fimer_inverter_dc_power,2700,2024-07-21 10:02:20.356
sensor.fimer_inverter_dc_power,2730,2024-07-21 10:02:50.255
